WaterBody,collected,Species,tl,age
Lochloosa,11/4/2020,BLCR,235,2
Lochloosa,11/4/2020,BLCR,292,4
Lochloosa,11/4/2020,BLCR,215,2
Lochloosa,11/4/2020,BLCR,258,4
Lochloosa,11/4/2020,BLCR,225,2
Lochloosa,11/4/2020,BLCR,270,2
Lochloosa,11/4/2020,BLCR,261,3
Lochloosa,11/4/2020,BLCR,197,1
Lochloosa,11/4/2020,BLCR,188,1
Lochloosa,11/4/2020,BLCR,215,2
Lochloosa,11/4/2020,BLCR,130,0
Lochloosa,11/4/2020,BLCR,222,2
Lochloosa,11/4/2020,BLCR,184,1
Lochloosa,11/4/2020,BLCR,220,1
Lochloosa,11/4/2020,BLCR,148,0
Lochloosa,11/4/2020,BLCR,190,1
Lochloosa,11/4/2020,BLCR,186,1
Lochloosa,11/4/2020,BLCR,159,1
Lochloosa,11/4/2020,BLCR,192,1
Lochloosa,11/4/2020,BLCR,165,1
Lochloosa,11/4/2020,BLCR,137,0
Lochloosa,11/4/2020,BLCR,192,1
Lochloosa,11/4/2020,BLCR,88,0
Lochloosa,11/4/2020,BLCR,175,1
Lochloosa,11/4/2020,BLCR,259,4
Lochloosa,11/4/2020,BLCR,271,3
Lochloosa,11/4/2020,BLCR,199,1
Lochloosa,11/4/2020,BLCR,173,2
Lochloosa,11/4/2020,BLCR,117,0
Lochloosa,11/4/2020,BLCR,241,2
Lochloosa,11/4/2020,BLCR,262,4
Lochloosa,11/4/2020,BLCR,180,1
Lochloosa,11/4/2020,BLCR,254,3
Lochloosa,11/4/2020,BLCR,261,3
Lochloosa,11/4/2020,BLCR,242,3
Lochloosa,11/4/2020,BLCR,192,1
Lochloosa,11/4/2020,BLCR,165,1
Lochloosa,11/4/2020,BLCR,261,2
Lochloosa,11/4/2020,BLCR,243,3
Lochloosa,11/4/2020,BLCR,272,3
Lochloosa,11/4/2020,BLCR,234,2
Lochloosa,11/4/2020,BLCR,223,1
Lochloosa,11/4/2020,BLCR,277,4
Lochloosa,11/4/2020,BLCR,268,4
Lochloosa,11/4/2020,BLCR,263,3
Lochloosa,11/4/2020,BLCR,237,2
Lochloosa,11/4/2020,BLCR,232,3
Lochloosa,11/4/2020,BLCR,241,2
Lochloosa,11/4/2020,BLCR,233,2
Lochloosa,11/4/2020,BLCR,268,3
Lochloosa,11/4/2020,BLCR,255,3
Lochloosa,11/4/2020,BLCR,259,4
Lochloosa,11/4/2020,BLCR,236,2
Lochloosa,11/4/2020,BLCR,263,2
Lochloosa,11/4/2020,BLCR,244,3
Lochloosa,11/4/2020,BLCR,223,2
Lochloosa,11/4/2020,BLCR,270,3
Lochloosa,11/4/2020,BLCR,233,2
Lochloosa,11/4/2020,BLCR,273,3
Lochloosa,11/4/2020,BLCR,206,1
Lochloosa,11/4/2020,BLCR,220,2
Lochloosa,11/4/2020,BLCR,260,4
Lochloosa,11/4/2020,BLCR,254,2
Lochloosa,11/4/2020,BLCR,254,2
Lochloosa,11/4/2020,BLCR,198,1
Lochloosa,11/4/2020,BLCR,182,1
Lochloosa,11/4/2020,BLCR,199,1
Lochloosa,11/4/2020,BLCR,185,1
Lochloosa,11/4/2020,BLCR,194,1
Lochloosa,11/4/2020,BLCR,202,1
Lochloosa,11/4/2020,BLCR,207,1
Lochloosa,11/4/2020,BLCR,197,1
Lochloosa,11/4/2020,BLCR,198,1
Lochloosa,11/4/2020,BLCR,197,1
Lochloosa,11/4/2020,BLCR,193,1
Lochloosa,11/4/2020,BLCR,168,1
Lochloosa,11/4/2020,BLCR,183,1
Lochloosa,11/4/2020,BLCR,173,1
Lochloosa,11/4/2020,BLCR,183,1
Lochloosa,11/4/2020,BLCR,178,1
Lochloosa,11/4/2020,BLCR,197,1
Lochloosa,11/4/2020,BLCR,179,1
Lochloosa,11/4/2020,BLCR,167,1
Lochloosa,11/4/2020,BLCR,164,0
Lochloosa,11/4/2020,BLCR,162,0
Lochloosa,11/4/2020,BLCR,187,1
Lochloosa,11/4/2020,BLCR,153,0
Lochloosa,11/4/2020,BLCR,144,0
Lochloosa,11/4/2020,BLCR,140,0
Lochloosa,11/4/2020,BLCR,147,0
Lochloosa,11/4/2020,BLCR,135,0
Lochloosa,11/4/2020,BLCR,125,0
Lochloosa,11/4/2020,BLCR,124,0
Lochloosa,11/4/2020,BLCR,122,0
Lochloosa,11/4/2020,BLCR,125,0
Lochloosa,11/4/2020,BLCR,124,0
Lochloosa,11/4/2020,BLCR,122,0
Lochloosa,11/4/2020,BLCR,116,0
Lochloosa,11/4/2020,BLCR,113,0
Lochloosa,11/4/2020,BLCR,108,0
Lochloosa,11/4/2020,BLCR,95,0
Lochloosa,11/4/2020,BLCR,88,0
Lochloosa,11/4/2020,BLCR,88,0
